Comment,Designator,Footprint,LCSC,Quantity
0,R12,R_0402_1005Metric,C17168,1
100,R17,R_0402_1005Metric,C25076,1
100k,R10,R_0402_1005Metric,C25741,1
100n,"C12,C14,C16,C18,C2,C20,C22,C3,C4,C5,C6,C7",C_0402_1005Metric,C1525,12
10K,"R2,R3,R7",R_0402_1005Metric,C25744,3
10n,C9,C_0402_1005Metric,C15195,1
10u,"C19,C8",C_0402_1005Metric,C15525,2
10u,"C15,C17,C21",C_0603_1608Metric,C19702,3
120R,FB1,L_0805_2012Metric,C23568,1
16.2k,R13,R_0402_1005Metric,C27176,1
1K8,"R14,R15",R_0402_1005Metric,C25871,2
1M,R8,R_0402_1005Metric,C26083,1
1k5,"R16,R4,R6",R_0402_1005Metric,C25867,3
1u,"C10,C11,C13",C_0603_1608Metric,C15849,3
2.2uH,L1,L_0603_1608Metric,C1033,1
22u,C1,C_0805_2012Metric,C45783,1
36.5k,R11,R_0402_1005Metric,C15011,1
500mA,F1,Fuse_1206_3216Metric,C20799,1
5k1,"R1,R5",R_0402_1005Metric,C25905,2
820k,R9,R_0402_1005Metric,C67558,1
BAT60A,D40,D_SOD-323,C513277,1
CR2450 Battery,BT2,BatteryHolder_Keystone_3009_1x2450,C2979177,1
IS31FL3236A-QFLS2-TR,U1,QFN40P500X500X80-45N,C246443,1
LED,"D10,D11,D12,D3,D4,D5,D6,D7,D8,D9,DEBUG",LED_0603_1608Metric,C12065,11
LED,"D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,D29,D31,D33,D36,PWR",LED_0603_1608Metric,C2286,15
LED,USR,LED_0603_1608Metric,C2290,1
LED,"D23,D24,D25,D26,D27,D28,D30,D32",LED_0603_1608Metric,C284922,8
LED,"D34,D35,D37,D38",LED_0603_1608Metric,C72038,4
PESD5V0L4UG_115,U4,SOT65P210X110-5N,C80694,1
SS8050,Q1,SOT-23,C2150,1
STM32L053R8Tx,U2,LQFP-64_10x10mm_P0.5mm,C79207,1
TPS2116DRL,U6,SOT-583-8,C3235557,1
TPS63900,U5,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,C1518762,1
~,USBC1,USB-C-SMD_TYPE-C-USB-17,C167321,1
~,"BOOT,RESET,USR_0,USR_1",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884,4
~,BUZZER,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,C94599,1
TestPoint,3V3,PinHeader_1x01_P2.54mm_Vertical,,1
