Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3V3,TestPoint,PinHeader_1x01_P2.54mm_Vertical,128.35,-66.02,0.0,top
3V3,TestPoint,PinHeader_1x01_P2.54mm_Vertical,124.3575,-64.75,0.0,top
BATT,TestPoint,PinHeader_1x01_P2.54mm_Vertical,136.335,-64.75,0.0,top
BOOT,~,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,194.5,-56.0,90.0,top
BT2,CR2450 Battery,BatteryHolder_Keystone_3009_1x2450,127.0,-87.0,90.0,bottom
BUZZER,~,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,102.45,-113.25,180.0,bottom
C1,22u,C_0805_2012Metric,114.2,-66.75,270.0,bottom
C10,1u,C_0603_1608Metric,100.025,-95.05,180.0,bottom
C11,1u,C_0603_1608Metric,94.675,-93.25,0.0,bottom
C12,100n,C_0402_1005Metric,177.85,-112.675,90.0,top
C13,1u,C_0603_1608Metric,176.45,-112.7,90.0,top
C14,100n,C_0402_1005Metric,101.97,-53.75,0.0,top
C15,10u,C_0603_1608Metric,106.45,-63.034,90.0,bottom
C16,100n,C_0402_1005Metric,107.8,-64.98,270.0,bottom
C17,10u,C_0603_1608Metric,98.725,-63.0,0.0,bottom
C18,100n,C_0402_1005Metric,124.02,-73.0,180.0,top
C19,10u,C_0402_1005Metric,107.8,-67.0,270.0,bottom
C2,100n,C_0402_1005Metric,191.1,-61.48,-90.0,top
C20,100n,C_0402_1005Metric,106.4,-65.55,270.0,bottom
C21,10u,C_0603_1608Metric,111.3375,-65.8,0.0,bottom
C22,100n,C_0402_1005Metric,113.5,-53.75,0.0,top
C3,100n,C_0402_1005Metric,93.9,-88.77,270.0,bottom
C4,100n,C_0402_1005Metric,93.9,-82.25,270.0,bottom
C5,100n,C_0402_1005Metric,109.1,-89.73,90.0,bottom
C6,100n,C_0402_1005Metric,105.23,-78.4,0.0,bottom
C7,100n,C_0402_1005Metric,104.77,-93.6,0.0,bottom
C8,10u,C_0402_1005Metric,92.8,-88.77,270.0,bottom
C9,10n,C_0402_1005Metric,99.73,-93.6,180.0,bottom
D10,LED,LED_0603_1608Metric,163.784546,-107.354444,134.4444444,top
D11,LED,LED_0603_1608Metric,168.36348,-113.813532,116.2222222,top
D12,LED,LED_0603_1608Metric,170.693005,-121.38055,98.0,top
D13,LED,LED_0603_1608Metric,95.201761,-117.980841,-98.0,top
D14,LED,LED_0603_1608Metric,97.971217,-107.121927,-110.6153846,top
D15,LED,LED_0603_1608Metric,103.045456,-97.130031,-123.2307692,top
D16,LED,LED_0603_1608Metric,110.179477,-88.487599,-135.8461538,top
D17,LED,LED_0603_1608Metric,119.028822,-81.611918,-148.4615385,top
D18,LED,LED_0603_1608Metric,129.166212,-76.834973,-161.0769231,top
D19,LED,LED_0603_1608Metric,140.102177,-74.387412,-173.6923077,top
D20,LED,LED_0603_1608Metric,151.308689,-74.387412,173.6923077,top
D21,LED,LED_0603_1608Metric,162.244654,-76.834973,161.0769231,top
D22,LED,LED_0603_1608Metric,172.382044,-81.611918,148.4615385,top
D23,LED,LED_0603_1608Metric,188.1,-52.75,-90.0,top
D24,LED,LED_0603_1608Metric,188.1,-59.9125,-90.0,top
D25,LED,LED_0603_1608Metric,188.1,-67.075,-90.0,top
D26,LED,LED_0603_1608Metric,188.1,-74.2375,-90.0,top
D27,LED,LED_0603_1608Metric,188.1,-81.4,-90.0,top
D28,LED,LED_0603_1608Metric,186.75,-86.35,45.0,top
D29,LED,LED_0603_1608Metric,181.231389,-88.487599,135.8461538,top
D3,LED,LED_0603_1608Metric,121.179601,-121.38055,-98.0,top
D30,LED,LED_0603_1608Metric,182.9,-90.3,45.0,top
D31,LED,LED_0603_1608Metric,188.36541,-97.130031,123.2307692,top
D32,LED,LED_0603_1608Metric,178.65,-94.45,45.0,top
D33,LED,LED_0603_1608Metric,193.439649,-107.121927,110.6153846,top
D34,LED,LED_0603_1608Metric,174.51,-95.61,45.0,top
D35,LED,LED_0603_1608Metric,172.07,-103.87,45.0,top
D36,LED,LED_0603_1608Metric,196.209105,-117.980841,98.0,top
D37,LED,LED_0603_1608Metric,177.41,-98.52,45.0,top
D38,LED,LED_0603_1608Metric,169.171036,-100.938965,45.0,top
D4,LED,LED_0603_1608Metric,123.509126,-113.813532,-116.2222222,top
D40,BAT60A,D_SOD-323,102.25,-107.05,180.0,bottom
D5,LED,LED_0603_1608Metric,128.08806,-107.354444,-134.4444444,top
D6,LED,LED_0603_1608Metric,134.457142,-102.651122,-152.6666667,top
D7,LED,LED_0603_1608Metric,141.977564,-100.1753,-170.8888889,top
D8,LED,LED_0603_1608Metric,149.895042,-100.1753,170.8888889,top
D9,LED,LED_0603_1608Metric,157.415464,-102.651122,152.6666667,top
DEBUG,LED,LED_0603_1608Metric,125.7875,-57.1,0.0,top
F1,500mA,Fuse_1206_3216Metric,99.95,-66.209,90.0,bottom
